file,case,seed,alpha,s_ratio,ari_floor,Q,Q_sd,dQ_null,ARI,edge_jac,n_cl,lcf,sigv2
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225,0.8515922533474433,0.003745113153005027,0.3262267342990858,0.49307774957297973,0.3678739751997385,21.215686274509803,0.8570980392156861,3.4348195314829286e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.7564909570874463,0.8627114977625784,0.005915177101324183,0.32162928969039717,0.511461496041676,0.40348155668405655,22.19607843137255,0.7849607843137254,3.565940131057372e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256,0.855634961203002,0.004289307762178497,0.3190667823133728,0.4704208877932231,0.40300220241979307,23.84313725490196,0.8213137254901961,4.059670916774367e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847,0.8590120442971848,0.005884733592531192,0.32854272484784797,0.4972471740002352,0.3991546487047324,18.88235294117647,0.8543333333333334,3.0815389708314034e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.670319045231536,0.8639610741990772,0.005675214850360913,0.3193833182938778,0.494959765261174,0.41796856202393895,23.49019607843137,0.8331764705882354,3.440666867055505e-08
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,monodisperse,1,0.005,0.6666666666666666,0.795973892041351,0.8787992780450482,0.005769876036033986,0.3966325527219992,0.801356051992986,0.1623116242194394,5.588235294117647,0.6230196078431373,1.2269197006650694e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed2.npz,monodisperse,2,0.005,0.6666666666666666,0.8280208285884113,0.8754163410094733,0.0031717489419234917,0.39057216091704205,0.7702392552848966,0.16599372000853768,5.823529411764706,0.33372549019607844,1.1135599563780808e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,monodisperse,3,0.005,0.6666666666666666,0.8701258126680326,0.8730537104703411,0.0031664527958094033,0.3877409221221601,0.743296375046113,0.1673556182005745,4.019607843137255,0.3714901960784313,1.123302885596936e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,monodisperse,4,0.005,0.6666666666666666,0.8484645774914966,0.8721069305885364,0.003449645788685327,0.3852468349591706,0.7693172696411996,0.16332553703529826,5.509803921568627,0.6811372549019609,1.339032633318271e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed5.npz,monodisperse,5,0.005,0.6666666666666666,0.766598660310611,0.8770837944039215,0.006971807866948014,0.39650644831002135,0.8146081076811034,0.16061681035802453,6.235294117647059,0.2857647058823529,1.1026194953809907e-09
