file,chi,seed,N,epr
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed1.npz,0.25,1,1000,0.0009020524792773943
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed2.npz,0.25,2,1000,0.00030943298397240724
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed3.npz,0.25,3,1000,0.00043879182777580104
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed4.npz,0.25,4,1000,0.00040607436286095724
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed5.npz,0.25,5,1000,0.0006149602242249223
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed1.npz,0.5,1,1000,0.0010225310589417939
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed2.npz,0.5,2,1000,0.0015256126430709311
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed3.npz,0.5,3,1000,0.0003045439609363273
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,0.5,4,1000,0.0004994755251516263
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,0.5,5,1000,0.0016164822274224394
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed1.npz,0.75,1,1000,0.003025578786881775
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed2.npz,0.75,2,1000,0.002198182689040859
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed3.npz,0.75,3,1000,0.0017808280010047956
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed4.npz,0.75,4,1000,0.002183369016310074
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed5.npz,0.75,5,1000,0.002030206336861445
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed1.npz,0.0,1,1000,0.00016179607830640733
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed2.npz,0.0,2,1000,0.0015797058016682483
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed3.npz,0.0,3,1000,0.00013891871266191833
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed4.npz,0.0,4,1000,0.0013101347469778285
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed5.npz,0.0,5,1000,0.0008241246919450024
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed1.npz,1.5,1,1000,0.008735903533007558
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed2.npz,1.5,2,1000,0.008657777562613577
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed3.npz,1.5,3,1000,0.009258444691501198
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed4.npz,1.5,4,1000,0.006754081164698086
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed5.npz,1.5,5,1000,0.007356876287740928
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed1.npz,1.0,1,1000,0.002991226962016721
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed2.npz,1.0,2,1000,0.004850640008817998
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed3.npz,1.0,3,1000,0.002280179181675312
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed4.npz,1.0,4,1000,0.003510572804788385
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed5.npz,1.0,5,1000,0.0021110472745383404
