file,chi,seed,N,epr,bias,epr_net
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed1.npz,0.25,1,1000,0.0009020524792773943,0.0010428466502581115,-0.00014079417098071718
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed2.npz,0.25,2,1000,0.00030943298397240724,0.0005231508858628388,-0.00021371790189043157
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed3.npz,0.25,3,1000,0.00043879182777580104,0.00011761568146420727,0.00032117614631159376
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed4.npz,0.25,4,1000,0.00040607436286095724,0.0004558382197506859,-4.976385688972864e-05
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed5.npz,0.25,5,1000,0.0006149602242249223,0.0008229881378187863,-0.00020802791359386403
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed1.npz,0.5,1,1000,0.0010225310589417939,0.0007434901207659176,0.0002790409381758762
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed2.npz,0.5,2,1000,0.0015256126430709311,0.0015066414618583582,1.8971181212572947e-05
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed3.npz,0.5,3,1000,0.0003045439609363273,0.0009676242835242974,-0.0006630803225879701
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,0.5,4,1000,0.0004994755251516263,0.0003826965442836582,0.00011677898086796806
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,0.5,5,1000,0.0016164822274224394,0.0014772311009878302,0.00013925112643460927
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed1.npz,0.75,1,1000,0.003025578786881775,0.0017329599475617993,0.0012926188393199759
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed2.npz,0.75,2,1000,0.002198182689040859,0.0012903302204296866,0.0009078524686111724
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed3.npz,0.75,3,1000,0.0017808280010047956,0.0016904080948510032,9.041990615379241e-05
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed4.npz,0.75,4,1000,0.002183369016310074,0.0013579924337490993,0.0008253765825609748
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed5.npz,0.75,5,1000,0.002030206336861445,0.0011347118536602383,0.0008954944832012068
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed1.npz,0.0,1,1000,0.00016179607830640733,0.00016179607830640733,0.0
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed2.npz,0.0,2,1000,0.0015797058016682483,0.0015797058016682483,0.0
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed3.npz,0.0,3,1000,0.00013891871266191833,0.00013891871266191833,0.0
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed4.npz,0.0,4,1000,0.0013101347469778285,0.0013101347469778285,0.0
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed5.npz,0.0,5,1000,0.0008241246919450024,0.0008241246919450024,0.0
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed1.npz,1.5,1,1000,0.008735903533007558,0.0014666280499721907,0.007269275483035367
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed2.npz,1.5,2,1000,0.008657777562613577,0.0019315342090766392,0.006726243353536938
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed3.npz,1.5,3,1000,0.009258444691501198,0.0016262993843241772,0.007632145307177021
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed4.npz,1.5,4,1000,0.006754081164698086,0.0009746083215398611,0.0057794728431582254
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed5.npz,1.5,5,1000,0.007356876287740928,0.00210694831946648,0.005249927968274448
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed1.npz,1.0,1,1000,0.002991226962016721,0.0009912826337203817,0.0019999443282963394
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed2.npz,1.0,2,1000,0.004850640008817998,0.001808055427247052,0.003042584581570946
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed3.npz,1.0,3,1000,0.002280179181675312,0.0006021374626565519,0.0016780417190187602
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed4.npz,1.0,4,1000,0.003510572804788385,0.001484834438872168,0.0020257383659162166
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed5.npz,1.0,5,1000,0.0021110472745383404,0.000644522550768009,0.0014665247237703313
