file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem,calib_dt,calib_n,epr_calib,epr_calib_sem,epr_at_calib_snaps,Qs_calib,a_tilde_calib,b_tilde_calib
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,4000,1,24.0,0.05,101,200000.0,-7.649539839713458e-07,-0.00019906846822202945,0.00012471604731399525,0.02989336600311732,2.939406055200653e-05,-0.008269615373667447,0.0004985918247917008,4.502472968470256,0.04161608508286871,0.005,162,-2.735337588187696e-05,9.560539118410069e-05,-0.0008075900321454961,0.34233219191700254,0.03032320146177148,-0.007690213868970376
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed2.npz,0.25,4000,2,24.0,0.05,101,200000.0,-1.700759838295892e-06,0.00026420070724386143,0.00012276613287537778,0.029268406239782087,8.229255317651645e-05,-0.006260298730970075,0.0004951384228859936,4.38866624053891,0.047560189091324104,0.005,162,8.71451838281362e-06,9.936336259514808e-05,-0.00020786644075380186,0.37806101690432103,0.029536786793024315,-0.007349338624724825
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed1_cont1.npz,0.5,4000,1,24.0,0.05,101,200000.0,-5.855170937224245e-07,-1.1988929698415213e-05,0.00026752051832657723,0.02821436948950112,3.131920466771681e-05,-0.01413116260414739,0.0005342746983407869,4.28261802754006,0.04089111270392594,0.005,162,0.00021062138937110882,0.00018298528433995597,-0.0016626157897364198,0.3139499402678337,0.027977283832035335,-0.013567399137275452
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed3.npz,0.25,4000,3,24.0,0.05,101,200000.0,-1.8712360535305478e-06,-8.939320314240498e-06,0.00012766801763380346,0.02944155257530311,5.327338129258617e-05,-0.00739614542508274,0.0005084590847573028,4.248380016836858,0.03931194696422929,0.005,162,-6.864640133350077e-05,0.00010065780166025208,0.0006840914231385885,0.32880404361394,0.029948738482171368,-0.007761770225876845
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed3_cont1.npz,0.5,4000,3,24.0,0.05,101,200000.0,8.877853159732249e-07,0.00013226980885432888,0.0002716562762908547,0.02813710901569398,3.348385805503478e-05,-0.013804014890138334,0.000548029712483217,4.347693175286737,0.044179094923788714,0.005,162,0.00028806677356697715,0.00018810997664467605,0.0007567258483672243,0.3425640429589017,0.02851257721592847,-0.013680155060830276
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2_cont1.npz,0.5,4000,2,24.0,0.05,101,200000.0,-3.436997267480769e-07,4.2956605768438544e-05,0.00029491313416037877,0.0278671312205285,3.808326768810902e-05,-0.013847652398727376,0.0005886321742270574,4.476817973688742,0.043744077902835285,0.005,162,0.00021193677752240112,0.00017787077133846852,-0.001018411031050899,0.3699924781110202,0.027884576158566803,-0.013518414524238602
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1.npz,0.75,4000,1,24.0,0.05,101,200000.0,8.232013065628643e-07,0.0006669372783751971,0.0003678036983567866,0.027728996715669495,4.349781252771984e-05,-0.01990749783225186,0.0004877305134721515,4.56375161243417,0.04180594479608478,0.005,162,0.0019425235781242098,0.00025693190963387095,0.0031385678391478433,0.35967939574575153,0.027882647027848616,-0.018321953833387514
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed2.npz,0.75,4000,2,24.0,0.05,101,200000.0,-1.6523990094698945e-07,0.0004729526157227737,0.0004409200152996427,0.02738184554393458,5.545574169227584e-05,-0.01990578067032057,0.0005914617238721343,4.4704335278684555,0.04539793307916108,0.005,162,0.0013731531419541765,0.0002967603116211002,-0.0018159092927765715,0.35161288132585844,0.02800312504873595,-0.019171472930613057
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed3.npz,0.75,4000,3,24.0,0.05,101,200000.0,-1.8090103220435677e-06,0.0005930914460588302,0.00040108916563993366,0.026522187521916384,5.967636166459293e-05,-0.01910085204669218,0.0005256811472642018,4.244564066306032,0.046221205762921096,0.005,162,0.0015240594741694374,0.00028116477876382196,0.0027910861640153806,0.37026636598375645,0.02682814304323155,-0.018089027983531077
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed1.npz,1.0,4000,1,24.0,0.05,101,200000.0,-1.984096013310991e-06,0.002438782879144687,0.0005490616349613899,0.026127161679096095,2.5165468774814716e-05,-0.023688378799951414,0.0005470443429288713,5.0576384550112525,0.04810065001039723,0.005,162,0.002715842602704995,0.00038860243518053873,-0.0006915316514769372,0.4069670919933613,0.026487124534836367,-0.023771281932131374
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed2.npz,1.0,4000,2,24.0,0.05,101,200000.0,2.1857546092163054e-06,0.0020234686936490913,0.0005600113140241862,0.02594771244587881,3.6048483285086644e-05,-0.023924243752229717,0.0005596532647276656,4.903847261052492,0.046294258102593876,0.005,162,0.0019548982253127832,0.0004002411493860532,0.004449974633774537,0.37079847033532737,0.02585446873612139,-0.02389957051080861
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed3.npz,1.0,4000,3,24.0,0.05,101,200000.0,6.009221405244837e-07,0.002320503881712928,0.0005470342840466305,0.025988348382098767,3.378153604832257e-05,-0.023667844500385837,0.000550721189390387,4.525757369557732,0.044032486597929535,0.005,162,0.0022957888436317053,0.00032469219281187466,0.004444545368038842,0.35772890433566396,0.02658974818557925,-0.024293959341947537
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed1.npz,2.0,4000,1,24.0,0.05,101,400000.0,-4.294550616164213e-07,0.012372751872638477,0.0012027910451675374,0.025875326133975307,4.276468119258366e-05,-0.04556427633163137,0.0005938384247551925,6.660937098852452,0.05922783959554726,0.005,162,0.012694763846819456,0.0009152922919814982,0.005635985923090073,0.52988069974369,0.026520303893085215,-0.0466932258627607
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed2.npz,2.0,4000,2,24.0,0.05,101,400000.0,-7.334831556042291e-07,0.010391170272745779,0.001342523552079391,0.02499089434140879,4.451162037877022e-05,-0.04478620354644469,0.0006672017981888937,6.544419313325584,0.056417820194910304,0.005,162,0.013416089337907172,0.0007947520535942182,0.012206578069219008,0.461322425465976,0.02536880857969532,-0.04402957249043706
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont1.npz,1.5,4000,1,24.0,0.05,101,200000.0,4.829818904628864e-07,0.006374012180839418,0.000990897868842285,0.025408258818521483,3.9328230404321334e-05,-0.03386304677388928,0.0006622701385989773,6.017539652561259,0.05778716731183019,0.005,162,0.007147519025557157,0.0006659177050043457,-0.006418229666962272,0.46914508275489064,0.0260676296536489,-0.03433643179676859
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed3.npz,2.0,4000,3,24.0,0.05,101,400000.0,-1.2030968703943246e-06,0.013918176259922903,0.0014856203216800604,0.02548949700603028,5.292959411417949e-05,-0.044019905882099135,0.0007448183443416222,6.564516586195229,0.06125367305075455,0.005,162,0.012308559609694788,0.0008663897459681241,0.02822878690107633,0.4829644576925563,0.025133037587278594,-0.04411179536970979
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2_cont1.npz,1.5,4000,2,24.0,0.05,101,200000.0,1.0287819232662483e-06,0.006178551193791479,0.0008728042092683346,0.025945201633270354,3.790954741659359e-05,-0.034798768320711215,0.0005856201834272615,5.931574580951021,0.05535030485584395,0.005,162,0.008033182292469356,0.0006144749955241459,0.0007880889069777191,0.4545400394413126,0.025946024406061922,-0.03356358174744665
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed3_cont1.npz,1.5,4000,3,24.0,0.05,101,200000.0,4.554070681730909e-07,0.006373286706791856,0.0009516037633690796,0.024977831917469027,2.9944546971250546e-05,-0.03321789007167564,0.0006344941356044001,5.717542342769673,0.05483543041448807,0.005,162,0.007017280206336045,0.0006026624185716888,-0.0023653467857057157,0.4169331534799403,0.025212426553304437,-0.03314045302573263
