chi,chi2,seed,J1,J2,N
0.5,0.25,2000,-6.186307923741696e-06,-0.0001643851081696624,1000
0.5,0.75,2000,-4.969833067913809e-06,-0.00013953580788305403,1000
0.25,0.5,2000,-7.689136239908527e-06,-0.00015396296655592473,1000
0.75,0.5,2000,-2.755370271253075e-06,-0.00015175808117226538,1000
0.5,0.25,2001,-5.918235491070128e-06,-0.0001676436068792317,1000
0.5,0.75,2001,-4.641713767676529e-06,-0.0001426220405026305,1000
0.25,0.5,2001,-7.772333116244385e-06,-0.0001536880575557356,1000
0.75,0.5,2001,-8.32410878653955e-07,-0.00015642701465279262,1000
0.5,0.25,2002,-5.6948010734640945e-06,-0.00016221958375583123,1000
0.5,0.75,2002,-4.2944993998467485e-06,-0.0001372807747153815,1000
0.25,0.5,2002,-7.763024123421658e-06,-0.0001503315007335504,1000
0.75,0.5,2002,-1.8795125712343833e-06,-0.00014944007797318003,1000
0.5,0.25,2003,-6.105589256707989e-06,-0.000162340487423717,1000
0.5,0.75,2003,-4.855685873581454e-06,-0.0001374757798808278,1000
0.25,0.5,2003,-7.495638514161617e-06,-0.0001502064023533249,1000
0.75,0.5,2003,-3.1209107987505e-06,-0.00015284660979316973,1000
0.5,0.25,2004,-6.123871483880054e-06,-0.000178279631139891,1000
0.5,0.75,2004,-4.659763369541286e-06,-0.00015149599380064944,1000
0.25,0.5,2004,-7.273389580576174e-06,-0.00016132386680409224,1000
0.75,0.5,2004,-3.3181736370731453e-06,-0.00016996901459296346,1000
0.5,0.25,2005,-7.309002167503847e-06,-0.00015547784952467245,1000
0.5,0.75,2005,-5.987586100288131e-06,-0.00013182045206935251,1000
0.25,0.5,2005,-8.511423031302132e-06,-0.000143723773670469,1000
0.75,0.5,2005,-3.7830383033921667e-06,-0.00014579822450962776,1000
0.5,0.25,2006,-7.145294712536646e-06,-0.00016266378039162828,1000
0.5,0.75,2006,-5.985330722397388e-06,-0.0001380570536824613,1000
0.25,0.5,2006,-8.588125155609934e-06,-0.00015258905603800487,1000
0.75,0.5,2006,-3.862977714809642e-06,-0.0001532291055774828,1000
0.5,0.25,2007,-6.775646311757365e-06,-0.00015746851493730386,1000
0.5,0.75,2007,-5.59057354293047e-06,-0.0001338904296345323,1000
0.25,0.5,2007,-8.046191385529685e-06,-0.0001443609960264902,1000
0.75,0.5,2007,-3.755894629040408e-06,-0.000148206608728154,1000
0.5,0.25,2008,-5.4243766648753604e-06,-0.00015356433998102323,1000
0.5,0.75,2008,-4.142774184414815e-06,-0.0001292721592646506,1000
0.25,0.5,2008,-7.260322700767173e-06,-0.0001438741350439617,1000
0.75,0.5,2008,-9.080726457267666e-07,-0.0001411015972649636,1000
0.5,0.25,2009,-4.860652833652334e-06,-0.0001501625995211762,1000
0.5,0.75,2009,-3.3557594808004242e-06,-0.00012630431230908673,1000
0.25,0.5,2009,-7.503631643208658e-06,-0.00014200027883331994,1000
0.75,0.5,2009,6.052542113673697e-07,-0.00013702416695825367,1000
0.5,0.25,2010,-4.459692262728479e-06,-0.00015459503419908418,1000
0.5,0.75,2010,-2.9819523340582954e-06,-0.00013020259564616618,1000
0.25,0.5,2010,-7.228211494396909e-06,-0.0001422388620810075,1000
0.75,0.5,2010,3.4671063936952453e-07,-0.0001441195324955047,1000
0.5,0.25,2011,-5.926724079937881e-06,-0.00016451318706659954,1000
0.5,0.75,2011,-4.555973437372792e-06,-0.00013851664081983173,1000
0.25,0.5,2011,-7.645872846839186e-06,-0.00015232404763356567,1000
0.75,0.5,2011,-2.000726809957323e-06,-0.0001523130471517865,1000
0.5,0.25,2012,-5.521365754303908e-06,-0.00015579468074951427,1000
0.5,0.75,2012,-4.2550265684244505e-06,-0.00013240181317026762,1000
0.25,0.5,2012,-7.333421915577383e-06,-0.0001442608239298749,1000
0.75,0.5,2012,-1.0051917480718265e-06,-0.00014571223672313208,1000
0.5,0.25,2013,-6.068818114752694e-06,-0.00015265528529215673,1000
0.5,0.75,2013,-4.554524607394531e-06,-0.00012904611052402362,1000
0.25,0.5,2013,-7.989853379562897e-06,-0.00014276199368740546,1000
0.75,0.5,2013,-8.734870106547615e-07,-0.00014155523578221447,1000
0.5,0.25,2014,-5.100024417280429e-06,-0.00015395015735830407,1000
0.5,0.75,2014,-3.7038323628324812e-06,-0.00012974834076513915,1000
0.25,0.5,2014,-7.409657783627244e-06,-0.00014183629261722806,1000
0.75,0.5,2014,-1.2034267951825772e-06,-0.00014137892242398726,1000
0.5,0.25,2015,-4.896730062798788e-06,-0.00014531083257279302,1000
0.5,0.75,2015,-3.546140428179287e-06,-0.00012222965968660486,1000
0.25,0.5,2015,-7.146440192676942e-06,-0.00013789453285534378,1000
0.75,0.5,2015,-1.0783906600062958e-08,-0.00013254939878232252,1000
0.5,0.25,2016,-6.4888880784801635e-06,-0.0001602430133857001,1000
0.5,0.75,2016,-5.196002384035586e-06,-0.00013540266763800618,1000
0.25,0.5,2016,-8.594687127185218e-06,-0.00015074441270807146,1000
0.75,0.5,2016,-3.0142829593040643e-06,-0.0001458918968078343,1000
0.5,0.25,2017,-6.060048588469527e-06,-0.00015835604678945397,1000
0.5,0.75,2017,-4.660561307129977e-06,-0.0001336480818706178,1000
0.25,0.5,2017,-7.753359213933906e-06,-0.0001471062491286576,1000
0.75,0.5,2017,-2.417901749185234e-06,-0.00014703144232303293,1000
0.5,0.25,2018,-6.385975431984356e-06,-0.00015402875038855106,1000
0.5,0.75,2018,-5.1167572294330384e-06,-0.00013075585884654402,1000
0.25,0.5,2018,-7.868292092282509e-06,-0.00014540728561450905,1000
0.75,0.5,2018,-2.6230166864600205e-06,-0.00014202614029698577,1000
0.5,0.25,2019,-5.353010998245166e-06,-0.00016184521978556044,1000
0.5,0.75,2019,-3.9613802017309915e-06,-0.00013715117701087873,1000
0.25,0.5,2019,-6.949879416847288e-06,-0.0001483090498240719,1000
0.75,0.5,2019,-9.057048344146689e-07,-0.00015319697080235815,1000
0.5,0.25,2020,-6.204330899902927e-06,-0.00015417351590630115,1000
0.5,0.75,2020,-4.806413867587489e-06,-0.00013099467702351462,1000
0.25,0.5,2020,-8.051038722728067e-06,-0.00014338562641595006,1000
0.75,0.5,2020,-2.0947904346298877e-06,-0.00014364787675598428,1000
0.5,0.25,2021,-5.314724994082947e-06,-0.00014678641163879986,1000
0.5,0.75,2021,-3.898493002974824e-06,-0.00012418939937438892,1000
0.25,0.5,2021,-7.505769892028256e-06,-0.000137905211301779,1000
0.75,0.5,2021,-5.119231029317743e-07,-0.00013687777257534944,1000
0.5,0.25,2022,-5.645531682075654e-06,-0.0001537941532072554,1000
0.5,0.75,2022,-4.270482271941922e-06,-0.0001298797647161939,1000
0.25,0.5,2022,-7.75475628347992e-06,-0.00014294223521698672,1000
0.75,0.5,2022,-1.5491366961088713e-06,-0.00014277536991104308,1000
0.5,0.25,2023,-6.352417525603062e-06,-0.0001506371687229861,1000
0.5,0.75,2023,-5.191558436060948e-06,-0.00012661210240680636,1000
0.25,0.5,2023,-7.811430973078685e-06,-0.00014225437610263634,1000
0.75,0.5,2023,-2.504126766438001e-06,-0.0001371205581975475,1000
0.5,0.25,2024,-5.004071984000348e-06,-0.00014213884941295134,1000
0.5,0.75,2024,-3.2279382740573706e-06,-0.00011974598807072418,1000
0.25,0.5,2024,-6.9466882798805766e-06,-0.00013480528042219552,1000
0.75,0.5,2024,-7.726126765038697e-07,-0.00013000538892771993,1000
0.5,0.25,2025,-6.729044867969339e-06,-0.00016623572939330637,1000
0.5,0.75,2025,-5.4297830311474795e-06,-0.00014011544020881093,1000
0.25,0.5,2025,-8.327462697789676e-06,-0.00015482312162873573,1000
0.75,0.5,2025,-3.11077932058856e-06,-0.0001533659218084641,1000
0.5,0.25,2026,-6.5267082670936075e-06,-0.00017373456436499686,1000
0.5,0.75,2026,-5.201091156611198e-06,-0.00014750714087238847,1000
0.25,0.5,2026,-7.867301934930247e-06,-0.00016132633823799094,1000
0.75,0.5,2026,-2.7713748809992594e-06,-0.00016202757691699294,1000
0.5,0.25,2027,-5.40496350491362e-06,-0.0001596882480198147,1000
0.5,0.75,2027,-4.054845633839335e-06,-0.00013533089462185998,1000
0.25,0.5,2027,-7.241059517187171e-06,-0.0001480220338386781,1000
0.75,0.5,2027,-1.7869429510593008e-06,-0.0001483835926785065,1000
0.5,0.25,2028,-5.326226013091127e-06,-0.00015545389621781985,1000
0.5,0.75,2028,-3.8691815342902726e-06,-0.00013197954730462028,1000
0.25,0.5,2028,-6.782028608072776e-06,-0.000144553105940586,1000
0.75,0.5,2028,-1.2248332338532752e-06,-0.00014562432946447498,1000
0.5,0.25,2029,-4.655190244019827e-06,-0.00015249994192749453,1000
0.5,0.75,2029,-3.2479610365072416e-06,-0.00012920537058939253,1000
0.25,0.5,2029,-6.945995478145126e-06,-0.00014058918733218966,1000
0.75,0.5,2029,-2.6610706920251706e-07,-0.0001429542812757241,1000
0.5,0.25,2030,-5.8035744813749475e-06,-0.00016210683468219562,1000
0.5,0.75,2030,-4.2773543206957616e-06,-0.00013601481500174657,1000
0.25,0.5,2030,-7.523208928736746e-06,-0.00015064100513196953,1000
0.75,0.5,2030,-1.8720295891730845e-06,-0.00014997879018599077,1000
0.5,0.25,2031,-5.530879108228159e-06,-0.00015417635763344636,1000
0.5,0.75,2031,-3.893870704223059e-06,-0.0001303039057831158,1000
0.25,0.5,2031,-7.1908484791774365e-06,-0.00014329567870572038,1000
0.75,0.5,2031,-1.9361207585926403e-06,-0.00014472515930915797,1000
0.5,0.25,2032,-3.7613840550603396e-06,-0.00014152364834926306,1000
0.5,0.75,2032,-2.400297240006458e-06,-0.00011921026741377865,1000
0.25,0.5,2032,-6.247569705685691e-06,-0.00013481318805505413,1000
0.75,0.5,2032,8.267547059310941e-07,-0.00012810291026647244,1000
0.5,0.25,2033,-6.106273633923515e-06,-0.00015828592547167405,1000
0.5,0.75,2033,-4.832377462119557e-06,-0.00013413610841004614,1000
0.25,0.5,2033,-7.786659167419693e-06,-0.00014803428525379347,1000
0.75,0.5,2033,-2.8634878383400726e-06,-0.00014821605715382004,1000
0.5,0.25,2034,-6.554298111979916e-06,-0.00015402832356584825,1000
0.5,0.75,2034,-5.462240531043333e-06,-0.00013035719322239655,1000
0.25,0.5,2034,-7.803578040721574e-06,-0.00014186473193496818,1000
0.75,0.5,2034,-3.832508102116892e-06,-0.00014711602502880664,1000
0.5,0.25,2035,-7.3479995680565495e-06,-0.00016667558654653763,1000
0.5,0.75,2035,-6.174141847687843e-06,-0.00014173750628635002,1000
0.25,0.5,2035,-8.65971053642766e-06,-0.0001525164504948744,1000
0.75,0.5,2035,-4.2424418290846764e-06,-0.00015647969467110764,1000
0.5,0.25,2036,-6.4384066413859e-06,-0.00016114603720019283,1000
0.5,0.75,2036,-4.965045592006244e-06,-0.00013663916066157072,1000
0.25,0.5,2036,-7.904978258064272e-06,-0.00014824493548830874,1000
0.75,0.5,2036,-2.5318146754923816e-06,-0.00014992967234438585,1000
0.5,0.25,2037,-7.099063667176106e-06,-0.0001648068414370692,1000
0.5,0.75,2037,-5.8004156121377935e-06,-0.00013977115997365155,1000
0.25,0.5,2037,-8.464691167310026e-06,-0.00015304087461552747,1000
0.75,0.5,2037,-3.7348691240189602e-06,-0.00015416024960412093,1000
0.5,0.25,2038,-7.4338322513161196e-06,-0.00016460339516484725,1000
