file,case,seed,alpha,s_ratio,chi,ari_floor,Q,Q_sd,dQ_null,ARI,edge_jac,n_cl,lcf,sigv2
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947,0.912306437474307,0.0014672710428613373,0.4232194435159003,0.5706106556749345,0.2883332250037743,3.871287128712871,0.6569430693069308,4.258281744587618e-10
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.25,0.5660716168899403,0.907567402867054,0.0026094532220347416,0.4212530486504489,0.5259439976441199,0.28998626765706487,1.118811881188119,0.999118811881188,4.161779101374647e-10
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.25,0.6279397437993001,0.9119087291865391,0.0027715549978967087,0.42343188234043266,0.5462816824312873,0.28798003650048476,1.5841584158415842,0.9864702970297031,4.424597367306562e-10
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.5,0.6593289492144524,0.9142880982853553,0.0019971114582021223,0.41181722207668503,0.5498652076855131,0.3618174987756147,16.455445544554454,0.8931460396039604,3.7037373535578856e-09
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996,0.9090653120314606,0.001522679782144077,0.40979143902749604,0.5246250856031562,0.3500328593308701,17.03960396039604,0.911081683168317,3.681749106562784e-09
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.5,0.6570196201307916,0.9079158921380086,0.002888576547684815,0.4062003543283764,0.5259980481150539,0.3449299149285149,18.316831683168317,0.9076707920792081,3.5766258455008784e-09
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.75,0.6200390341724574,0.9057134741041214,0.002254241692469272,0.39492567882951635,0.4970378884395282,0.3697717884649478,60.98019801980198,0.8429999999999999,1.500597002811419e-08
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.75,0.6605474174299705,0.909347549961882,0.0024925496469449383,0.3955358812728851,0.5092371940291253,0.3773031800955885,55.84158415841584,0.766240099009901,1.3035837339599458e-08
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.75,0.6072486496374825,0.9130521866859449,0.0037087520737064906,0.3942237375219747,0.5279132400516056,0.4036830659379512,52.65346534653465,0.789767326732673,1.3057037496369888e-08
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.0,0.7557317211787818,0.9278536745628857,0.0022376515440978685,0.4382137127866071,0.7291029836656707,0.25633612045222,10.712871287128714,0.4161212871287129,4.151167308146454e-10
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.0,0.8425275051211805,0.9326747956523309,0.002467318094809653,0.441442510323228,0.7319456563466722,0.26260654029631575,10.782178217821782,0.2708366336633663,4.215360259793139e-10
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.0,0.7050481091946166,0.929959350614935,0.001807900809108177,0.44108825913603356,0.7132522215318284,0.25984936697949096,11.683168316831683,0.21554207920792082,4.213024193041004e-10
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,1.5,0.606372947064642,0.9011964182209525,0.0026672127109795816,0.38424891858330534,0.4853380990289802,0.3438696632861106,136.72277227722773,0.7778490099009899,5.510983305909079e-08
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,1.5,0.6350513260558821,0.9006329614639708,0.0013176623396502565,0.3831674930719732,0.48793274082167276,0.34258867844382995,137.58415841584159,0.7074826732673265,5.603397630370914e-08
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,1.5,0.6005688029239877,0.902035593807999,0.0018151596892724859,0.38165698273813586,0.4740709378513485,0.3596160367026232,137.5148514851485,0.7732920792079209,5.598202051753746e-08
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,1.0,0.5928498881434425,0.9012075891628107,0.0023112208610155394,0.387012232159623,0.4728295607985478,0.36032666002447944,97.77227722772277,0.8209356435643563,2.926107260880197e-08
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,1.0,0.6050849735336844,0.903191884385404,0.0031780847234789415,0.3903672868529291,0.4788305694561885,0.36829789545515645,97.65346534653466,0.8252400990099009,2.7584145586984367e-08
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,1.0,0.6770456394225735,0.9127638217981155,0.0024800088067472386,0.390857857685454,0.5167577700300301,0.40624809475169915,90.16831683168317,0.725601485148515,2.5983763375538718e-08
monodisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed1.npz,monodisperse,1,0.005,0.6666666666666666,1.0,0.9225096295324747,0.9394709705645798,0.0015494205242527293,0.46480693403346535,0.8724715211398949,0.14754482788843495,12.683168316831683,0.23529207920792075,3.005751965496676e-10
monodisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed2.npz,monodisperse,2,0.005,0.6666666666666666,1.0,0.7480092051438034,0.9320397311927563,0.0031598741439018796,0.4586708484545999,0.7930919188107957,0.1485840494813074,10.237623762376238,0.28768811881188117,3.2565675080233954e-10
monodisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed3.npz,monodisperse,3,0.005,0.6666666666666666,1.0,0.8172900849192607,0.9351411644796161,0.003845342533163442,0.46245707331934865,0.8258788112546207,0.14859622960299518,10.564356435643564,0.26016831683168323,2.934979958588035e-10
