t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,ari_floor
0.0,0.9878905834838984,199,0.026,0.8863117538172672,,,,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
1000.0,0.9431131980605766,31,0.253,,0.17698166001204657,0.8403925619834711,4.082952199404156e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
2000.0,0.92833093088601,25,0.366,,0.5823356263183965,0.6479063484916704,4.287177878872287e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
3000.0,0.9213977339705066,17,0.513,,0.5877915112826633,0.6185745140388769,4.049060019926387e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
4000.0,0.9081274252535427,20,0.429,0.5915000228932489,0.6009721686729516,0.5876375952582558,3.359296057460483e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
5000.0,0.902948424704555,19,0.5,,0.5498118786751335,0.5712468193384224,3.3472383893339084e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
6000.0,0.9037238080209951,24,0.48,,0.537246599136128,0.5377077119727312,3.207232893085495e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
7000.0,0.8967913320928627,21,0.291,,0.5601228383864624,0.5360303413400759,3.426771008059662e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
8000.0,0.8892210651661182,28,0.48,0.5736616641545589,0.5077669828434418,0.548172757475083,3.2431402443946594e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
9000.0,0.8795511512200221,23,0.474,,0.5009536269767616,0.5164104694640632,3.0079893530509094e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
10000.0,0.8823841988369071,23,0.647,,0.5417699953668986,0.4736175601519629,3.038184408312742e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
11000.0,0.8785581575949072,19,0.548,,0.6083499421060271,0.45936842105263154,3.630787265986515e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
12000.0,0.8808044736655564,21,0.557,0.555828383737926,0.5930956684572755,0.4599244649601343,2.9528621721074513e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
13000.0,0.8847330466720416,28,0.56,,0.5600587724102831,0.4404965753424658,3.690494432398065e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
14000.0,0.8804783856935599,22,0.612,,0.5446390870237371,0.4580152671755725,2.971138045438005e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
15000.0,0.8817706523696759,24,0.573,,0.5551756886935928,0.4466983167889512,4.0300080081425664e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
16000.0,0.8758797273430372,28,0.579,0.558360853103554,0.533117295340951,0.44015444015444016,3.5357531590122975e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
17000.0,0.8796620667115642,30,0.606,,0.5584150086395903,0.4504273504273504,3.300957026882324e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
18000.0,0.875960262195389,18,0.606,,0.6517178030768528,0.4578364565587735,3.344217579034622e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
19000.0,0.872844003849767,18,0.821,,0.5232433676484755,0.4575,3.769950074357298e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
20000.0,0.872573811609022,26,0.816,0.5445336154811415,0.5083514925392885,0.4239864864864865,3.237569304914802e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
21000.0,0.8626860502672463,21,0.848,,0.5092438562925049,0.4316939890710383,2.9043208035582776e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
22000.0,0.8612532047015384,26,0.838,,0.5328802915843424,0.3972602739726028,2.8175643806447915e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
23000.0,0.8579471744165983,27,0.818,,0.48344084147808847,0.4084388185654009,3.1648290015833256e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
24000.0,0.8599041379056972,18,0.834,0.5322324113254466,0.4522178730899692,0.3970588235294118,3.915528522342095e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
25000.0,0.8623661171123128,18,0.834,,0.49670258099153064,0.39890939597315433,4.229524133700996e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
26000.0,0.8576896468279442,17,0.876,,0.44416605212177085,0.40685045948203846,4.4786103316555414e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
27000.0,0.857000650887097,20,0.833,,0.49483551421071004,0.4044389642416769,3.820572412429873e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
28000.0,0.8572815541939501,19,0.872,0.5321354782489414,0.42627948922850006,0.4083812654067379,3.718270627270995e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
29000.0,0.8533645615009722,20,0.869,,0.491275011167215,0.3951480263157895,2.98094606555855e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.6732230435525225
