chi,N,L,seed,tmax,n_fit,exp_Lk,exp_Sw,Lk_late,Sw_late,lcf_late,t_half
0.25,4000,24.0,1,400000.0,13,0.18079514279846695,0.6053607780386762,6.9674681281897115,2086.486307692308,0.6915961538461539,56000.0
0.25,4000,24.0,2,400000.0,5,,,8.02061448247034,3994.1573653846144,0.9992692307692308,12000.0
0.25,4000,24.0,3,400000.0,13,0.20743223931994897,0.5559321429112909,7.088364086001435,3807.7648846153843,0.9751826923076924,56000.0
0.5,4000,24.0,1,798000.0,20,0.18546548621428335,0.2730518367971039,7.752226280149769,3311.7254800000005,0.9086750000000001,28000.0
0.5,4000,24.0,2,798000.0,8,0.18863305569185604,0.5638079458765528,8.50159452634074,3183.7394200000003,0.8896200000000001,32000.0
0.5,4000,24.0,3,798000.0,12,0.2204193901273347,0.4181776192505341,7.708481814857031,2992.9916300000004,0.8613250000000001,32000.0
0.75,4000,24.0,1,400000.0,11,0.1656016061935989,0.43407404376844017,8.048927786568935,2850.1210384615383,0.8430192307692307,40000.0
0.75,4000,24.0,2,400000.0,11,0.19685414186210967,0.41741221979357995,7.294130027974509,2330.9972115384617,0.7074807692307693,32000.0
0.75,4000,24.0,3,400000.0,29,0.17139151586083132,0.42688920142853143,7.422400779941382,2710.8480961538467,0.8202211538461538,32000.0
0.0,4000,24.0,1,400000.0,100,0.16435306206044334,0.11932245863976933,5.540352525086723,904.3258653846152,0.41624038461538465,
0.0,4000,24.0,2,400000.0,100,0.12751673076552206,0.13562679804505773,5.24965161720094,603.0521153846154,0.27084615384615385,
0.0,4000,24.0,3,400000.0,100,0.13221290881925846,0.08534944859395074,5.2625822225940135,540.1853461538462,0.2155673076923077,
1.5,16000,48.0,1,798000.0,118,0.25225498247320133,0.6871300778379351,15.02821715270208,11743.41611,0.85668875,316000.0
1.5,16000,48.0,2,798000.0,54,0.18363747074657694,0.6134422731841047,9.353524856464615,8321.359372500001,0.6995,188000.0
1.5,4000,24.0,1,798000.0,9,0.20596365896701566,0.7375730409245955,9.542063599438062,2423.38298,0.7777200000000001,24000.0
1.5,4000,24.0,2,798000.0,20,0.1648981368375141,0.40058837949630793,9.070008549827104,2428.11153,0.7784749999999999,56000.0
1.5,4000,24.0,3,798000.0,21,0.20696674780782257,0.45559966093278587,9.14581354891839,2456.30186,0.783005,84000.0
1.5,4000,30.0,1,1596000.0,62,0.17587001088901924,0.8183950535761318,8.361558460327547,1239.43718,0.55415,504000.0
1.5,4000,30.0,2,1596000.0,152,0.16599196481845382,0.5663113411295048,7.756566349674942,1088.6218900000001,0.5132099999999999,512000.0
1.5,4000,38.0,1,1596000.0,200,0.17009693224487096,0.6281198935141799,6.499523967585452,290.47593,0.18245999999999998,
1.5,4000,38.0,2,1596000.0,200,0.09389172844181398,0.2761551228458915,5.366994181983213,118.29307,0.07765499999999999,
1.5,4000,48.0,1,800000.0,100,0.08584203272554645,0.450511642025061,4.150148352157706,44.68676923076922,0.03303846153846154,
1.5,4000,48.0,2,800000.0,100,0.09450511974057078,0.49078809515532584,4.276748714695265,52.235211538461535,0.04517307692307692,
1.5,9000,36.0,1,798000.0,23,0.24153453823772353,0.7784431815084519,11.666563874556621,5794.225751111112,0.8021155555555556,96000.0
1.5,9000,36.0,2,798000.0,56,0.2020544013885657,0.5348982154422667,10.359245061037834,5777.4800888888885,0.8009555555555555,192000.0
1.0,4000,24.0,1,400000.0,13,0.2408577276761991,0.7106879940410027,9.16037763566486,2794.164557692308,0.8350576923076923,44000.0
1.0,4000,24.0,2,400000.0,25,0.14131942305465,0.2826390135341277,7.776252588103022,2633.0032499999998,0.8074807692307692,104000.0
1.0,4000,24.0,3,400000.0,19,0.18159063666361638,0.37850865132138595,6.952242457105675,2089.9219615384613,0.7045096153846152,24000.0
1.0,9000,36.0,1,798000.0,71,0.17955490537896104,0.42513851108262657,10.492657920591302,6120.198240000001,0.8242755555555555,124000.0
1.0,9000,36.0,2,798000.0,101,0.18608278572607787,0.4663723037047508,9.341224279875764,6243.296488888889,0.832608888888889,128000.0
1.0,22000,53.666,1,718200.0,120,0.21585756419619254,0.5917954085692009,9.750733188340263,14595.226316363636,0.8128200000000001,324000.0
1.0,22000,53.666,2,718200.0,82,0.20936018079485894,0.5298487844722186,10.114748542917626,16001.152703636366,0.8527118181818182,295200.0
1.0,22000,53.666,3,1078200.0,140,0.22535472212810884,0.4785563132062765,10.279199395469059,8376.827951515152,0.5474872727272727,338400.0
1.0,22000,53.666,4,1078200.0,40,0.20668656110839398,0.5949661969815656,12.315675731569225,16511.26780242424,0.8662042424242423,68400.0
2.0,4000,24.0,1,800000.0,17,0.21345862364234824,0.4421395862771314,9.71745253513916,2469.2522692307693,0.78525,88000.0
2.0,4000,24.0,2,800000.0,10,0.22060135855280963,0.44711229006135383,8.816356677764405,2267.93075,0.7514903846153846,88000.0
2.0,4000,24.0,3,800000.0,6,0.21107122806216455,0.8176896308500434,9.915244000612676,2451.651788461538,0.7824903846153846,56000.0
3.0,4000,24.0,1,800000.0,18,0.18221465354503721,0.49985012603191753,9.719106607434034,2399.6227115384613,0.7741442307692308,152000.0
3.0,4000,24.0,2,800000.0,6,0.18275608840363367,0.6155564093245676,8.894652843739133,2142.0825192307693,0.7302019230769231,56000.0
3.0,4000,24.0,3,800000.0,4,,,9.5924292446733,2326.4493461538464,0.7612692307692307,40000.0
5.0,4000,24.0,1,800000.0,12,0.1091802131386904,0.2781776614291403,8.394339021909495,2016.5286346153844,0.6899423076923077,72000.0
5.0,4000,24.0,2,800000.0,6,0.18450625126268824,0.574841399215184,9.556526848509616,2378.5661923076923,0.7706057692307693,32000.0
5.0,4000,24.0,3,800000.0,4,,,9.45865314119074,2368.653423076923,0.7691153846153844,40000.0
8.0,4000,24.0,1,800000.0,7,0.06294184696009181,0.14918608793176247,8.01615924195859,1975.0073461538464,0.6999423076923077,24000.0
8.0,4000,24.0,2,800000.0,6,0.1051903447798641,0.26224911743222973,8.089173407714291,2002.0120576923077,0.7040480769230768,48000.0
8.0,4000,24.0,3,800000.0,15,0.08843113156595675,0.18586708073695674,8.353778511449546,2070.884692307692,0.7179038461538462,48000.0
1.0,2000,24.0,1,400000.0,100,0.08816628674128263,0.3073075538830207,4.221966549481179,243.00976923076925,0.23525000000000001,
1.0,2000,24.0,2,400000.0,100,0.0888855523204194,0.3077694088644949,4.383897338677503,341.48284615384614,0.28771153846153846,
1.0,2000,24.0,3,400000.0,100,0.09306484493004319,0.4124266762292,4.325966936314782,338.5577307692308,0.31761538461538463,
