bin,S,n,open_frac,q,q_err,q_free,q_free_err,p_abs,t_med
"[3, 4)",3.0,7150,0.10062893081761004,0.12195804195804195,0.003869989934390019,0.08710193398284136,0.003400364945457056,0.038181818181818185,100.0
"[4, 5)",4.0,3673,0.14581395348837212,0.19901987476177513,0.006587924754881628,0.14052001168565587,0.005939960044402895,0.06806425265450586,200.0
"[5, 6)",5.0,1867,0.23010309278350516,0.24424209962506696,0.009943275010829075,0.18297625940938042,0.0093039751515205,0.07498660953401179,300.0
"[6, 7)",6.0,1179,0.3262857142857143,0.24342663273960985,0.01249834958443496,0.17712177121771217,0.01159549033484771,0.08057675996607294,350.0
"[7, 8)",7.0,905,0.2901960784313725,0.35911602209944754,0.015947140056761372,0.3062200956937799,0.015941330407965443,0.07624309392265194,350.0
"[8, 10)",8.480629539951574,826,0.4203508771929825,0.5690072639225182,0.017230737131344705,0.48923959827833574,0.018934464252270244,0.15617433414043583,400.0
"[10, 12)",10.418738049713193,523,0.5452173913043479,0.615678776290631,0.02127029098567981,0.5452488687782805,0.02368498674267408,0.15487571701720843,500.0
"[12, 15)",12.82857142857143,665,0.40888888888888886,0.8045112781954887,0.01537857514894191,0.7368421052631579,0.019812165381764894,0.2571428571428571,350.0
"[15, 20)",16.807817589576548,614,0.27764705882352936,0.9413680781758957,0.009481184828111673,0.9358288770053476,0.010346336764062769,0.08631921824104234,200.0
"[20, 30)",23.794912559618442,629,0.03230769230769226,0.9888712241653418,0.00418281102623684,0.9886914378029079,0.004249998311911968,0.01589825119236884,50.0
"[30, 50)",39.642857142857146,350,0.0,1.0,0.0,1.0,0.0,0.10857142857142857,50.0
"[50, 1000)",63.40909090909091,550,0.0,1.0,0.0,1.0,0.0,0.0,50.0
