file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed2.npz,0.25,1000,2,12.0,0.05,51,50000.0,-1.2785139378953244e-05,-0.0002727325577341788,0.0003617822283278799,0.031566139498624454,4.911484218918845e-05,-0.00898246510559283,0.0014477321699527172,4.379953876499021,0.13203634903724362
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed1.npz,0.25,1000,1,12.0,0.05,51,50000.0,-1.1550263160476066e-05,-0.0007780224324322315,0.000372501274503707,0.032566596184148415,0.0001341402489865227,-0.01125373877576603,0.0014841785518445339,4.458230863313883,0.12691799933822837
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed3.npz,0.25,1000,3,12.0,0.05,51,50000.0,-1.9033873768599093e-05,0.0003720356048763072,0.0003536967286929435,0.032911200324209966,9.391260171891465e-05,-0.006739657661547263,0.0014177319469074574,4.266015559474664,0.12059931997649546
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed4.npz,0.25,1000,4,12.0,0.05,51,50000.0,-7.649687194365727e-06,-0.00019958834998016483,0.00034199669870865334,0.03128942076282937,7.661858600615006e-05,-0.008620708590628,0.001369773406152493,4.406885765857382,0.1270106509970691
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed5.npz,0.25,1000,5,12.0,0.05,51,50000.0,-1.0697522889960073e-05,-4.079947195065334e-05,0.0003913025253451562,0.032100441176066835,4.515976121702554e-05,-0.008188308181819324,0.0015651082705630322,4.404607841307706,0.15139528440932665
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed1.npz,0.5,1000,1,12.0,0.05,51,50000.0,-1.4975899197548411e-05,0.0013419646537081045,0.0007472093499412896,0.031006423374058373,0.00011601161122394298,-0.012819282379612976,0.0014923417084116667,4.289338287983417,0.10418143015754391
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed2.npz,0.5,1000,2,12.0,0.05,51,50000.0,-5.297317942203392e-06,0.0004915696779356627,0.0008123502444257474,0.03010398279482659,6.623403399809345e-05,-0.014068852041541973,0.0016360470956053503,3.727277899168776,0.11108483390808786
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed3.npz,0.5,1000,3,12.0,0.05,51,50000.0,-6.411659627537876e-06,-0.0004904781615577027,0.0006447219205217563,0.030804460675736785,8.565747792893129e-05,-0.016383186660983793,0.001287457522876422,3.854438726401957,0.12878101172069384
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,0.5,1000,4,12.0,0.05,51,50000.0,-2.402855934383713e-05,0.0016985217035050259,0.0007218084928021161,0.028830732950003036,0.00011613076204696508,-0.011018323067991468,0.0014443840613218516,4.004330031079243,0.1211003087401007
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,0.5,1000,5,12.0,0.05,51,50000.0,-7.711587982612865e-06,0.0004499137544096986,0.0007183484359057532,0.03136201948062108,0.00014101125423037332,-0.01478118223149114,0.001447423349095691,3.7546459922681708,0.11871154770377086
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed1.npz,0.75,1000,1,12.0,0.05,51,50000.0,1.318300210818155e-05,0.0011818907095745537,0.0012988442289844809,0.02919368165266582,7.061095680819707e-05,-0.020319406960066625,0.0017308928450219115,4.719670003061865,0.12230084342145824
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed2.npz,0.75,1000,2,12.0,0.05,51,50000.0,1.7050994439611907e-06,0.0023072897391773536,0.0011419688157386597,0.029069545067994643,0.00011140703657899809,-0.018725772482092843,0.0015304592980513543,3.987095924296663,0.13602802616134288
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed3.npz,0.75,1000,3,12.0,0.05,51,50000.0,-1.109078562984047e-05,0.004860598047316489,0.00113813802708741,0.028883321354834277,7.509001038949443e-05,-0.015181693619703717,0.0015262225294845298,3.898018510143564,0.11158476117899106
