file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem,calib_dt,calib_n,epr_calib,epr_calib_sem,epr_at_calib_snaps,Qs_calib,a_tilde_calib,b_tilde_calib
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed1.npz,2.0,4000,1,24.0,0.05,101,400000.0,-4.294550616164213e-07,0.012372751872638477,0.0012027910451675374,0.025875326133975307,4.276468119258366e-05,-0.04556427633163137,0.0005938384247551925,6.660937098852452,0.05922783959554726,0.005,4,0.015186509063808952,0.0028208161711020673,0.013821131304706344,0.4705098886918171,0.026226364739479133,-0.044859474947053786
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,4000,1,24.0,0.05,101,200000.0,-7.649539839713458e-07,-0.00019906846822202945,0.00012471604731399525,0.02989336600311732,2.939406055200653e-05,-0.008269615373667447,0.0004985918247917008,4.502472968470256,0.04161608508286871,0.005,4,0.000574001892549847,0.00033282348862703797,-0.0007446958366851542,0.38962011736320645,0.030151668092369435,-0.005241909452892971
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed3.npz,0.25,4000,3,24.0,0.05,101,200000.0,-1.8712360535305478e-06,-8.939320314240498e-06,0.00012766801763380346,0.02944155257530311,5.327338129258617e-05,-0.00739614542508274,0.0005084590847573028,4.248380016836858,0.03931194696422929,0.005,4,-0.0003845179864521976,0.0003317980449300104,0.0005875919306430108,0.5657634788479595,0.029818018075151716,-0.008992576464596717
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed2.npz,0.25,4000,2,24.0,0.05,101,200000.0,-1.700759838295892e-06,0.00026420070724386143,0.00012276613287537778,0.029268406239782087,8.229255317651645e-05,-0.006260298730970075,0.0004951384228859936,4.38866624053891,0.047560189091324104,0.005,4,-0.0011593618000760074,0.0003207871962113724,-0.0004424236390388958,0.2151533728248964,0.02958281370595313,-0.012033150626792312
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed1_cont1.npz,0.5,4000,1,24.0,0.05,101,200000.0,-5.855170937224245e-07,-1.1988929698415213e-05,0.00026752051832657723,0.02821436948950112,3.131920466771681e-05,-0.01413116260414739,0.0005342746983407869,4.28261802754006,0.04089111270392594,0.005,4,-0.0007949307588022048,0.0008530447792008453,-0.00013880099741244,0.25246142413475703,0.028063379962252118,-0.015621551498730471
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2_cont1.npz,0.5,4000,2,24.0,0.05,101,200000.0,-3.436997267480769e-07,4.2956605768438544e-05,0.00029491313416037877,0.0278671312205285,3.808326768810902e-05,-0.013847652398727376,0.0005886321742270574,4.476817973688742,0.043744077902835285,0.005,4,-0.00035993197623972303,0.001415638397315287,-0.0003801037413779904,0.3860036235147115,0.028008089647949354,-0.014723908776454124
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed3_cont1.npz,0.5,4000,3,24.0,0.05,101,200000.0,8.877853159732249e-07,0.00013226980885432888,0.0002716562762908547,0.02813710901569398,3.348385805503478e-05,-0.013804014890138334,0.000548029712483217,4.347693175286737,0.044179094923788714,0.005,4,0.0006206826083916437,0.001061351728664335,0.0008835219102555318,0.40595025132963247,0.028173231792398678,-0.012845250679416052
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1.npz,0.75,4000,1,24.0,0.05,101,200000.0,8.232013065628643e-07,0.0006669372783751971,0.0003678036983567866,0.027728996715669495,4.349781252771984e-05,-0.01990749783225186,0.0004877305134721515,4.56375161243417,0.04180594479608478,0.005,4,0.0010532567792539173,0.0011221051303957382,0.0018643095350434975,0.2120170039418345,0.027846657683957828,-0.019480650890629815
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed2.npz,0.75,4000,2,24.0,0.05,101,200000.0,-1.6523990094698945e-07,0.0004729526157227737,0.0004409200152996427,0.02738184554393458,5.545574169227584e-05,-0.01990578067032057,0.0005914617238721343,4.4704335278684555,0.04539793307916108,0.005,4,-5.219950045098768e-05,0.0022035210787197967,-0.002358082110374328,0.1756347261564557,0.02766265168001822,-0.02081658809394831
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed3.npz,0.75,4000,3,24.0,0.05,101,200000.0,-1.8090103220435677e-06,0.0005930914460588302,0.00040108916563993366,0.026522187521916384,5.967636166459293e-05,-0.01910085204669218,0.0005256811472642018,4.244564066306032,0.046221205762921096,0.005,4,-0.0015413227779806575,0.002440431798519237,0.00269101758938416,0.3570219353296378,0.02667381443841123,-0.02206045786611597
