file,chi,seed,n,A_sum,A_surr_mean,A_surr_sd,z,A_lag1,A_lag5,A_lag20
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1_cont1_dense500.npz,0.25,1,500,12.386133818979655,11.351691605350537,0.7540519105615855,1.3718448281083329,0.3302785891415668,0.23806911634801622,0.29825932321260723
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed2_cont1_dense500.npz,0.25,2,500,10.202522667909465,11.615897622093751,0.8512050281405535,-1.6604400907637797,0.408150853544491,0.2661806713922363,0.36592672410912064
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed3_cont1_dense500.npz,0.25,3,500,11.156374957457357,11.431545794133239,0.6454794724970018,-0.4263045509586825,0.43854007447246085,0.2071946004313568,0.3082013267433474
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed1_cont2_dense500.npz,0.5,1,500,15.846563709754125,17.066594985539787,3.278354587282539,-0.37214744265871424,0.32873940314893363,0.22448949234110363,0.43835102426755745
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2_cont2_dense500.npz,0.5,2,500,17.221720172899058,18.139705179504606,4.723767365347352,-0.1943332377753632,0.22113023479468719,0.16753690026818485,0.39465001972713515
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed3_cont2_dense500.npz,0.5,3,500,13.119517912024488,17.30997768055403,3.6607929211055055,-1.144686372280267,0.3354191601182608,0.20456505908384542,0.33055186358352695
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1_cont1_dense500.npz,0.75,1,500,11.598760881290474,17.206772835480532,3.310927001908895,-1.6937890660098491,0.18116011034647794,0.29258892734999603,0.33760177411046294
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed2_cont1_dense500.npz,0.75,2,500,15.228956095541445,18.260337844275632,3.783662761441306,-0.8011765159481197,0.2158403285436805,0.1843913039118177,0.4251567302252294
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed3_cont1_dense500.npz,0.75,3,500,22.627522025218006,19.737402916608097,4.86060868869248,0.594600243243889,0.1974141388970495,0.1738202092478816,0.533885420690897
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1_cont1_dense500.npz,0.0,1,500,12.155055262538745,11.27694608083292,0.5806743301669717,1.5122231793048735,0.38338026729932967,0.3279089345309847,0.4397139829615486
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed2_cont1_dense500.npz,0.0,2,500,10.164287334654851,11.549692722800783,0.7143952599784295,-1.9392701292387675,0.48936868736853656,0.15964414127585616,0.2730314836030453
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed3_cont1_dense500.npz,0.0,3,500,11.066728334071643,11.331118549980799,0.5485964249568062,-0.481939370877185,0.440449525527038,0.2467661244335216,0.1805509331961075
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed1_cont1_dense500.npz,1.0,1,500,14.527794444184277,17.38369503690823,3.5872320697729076,-0.7961293100573632,0.23778775222693635,0.16445199624733614,0.5329543840139221
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed2_cont1_dense500.npz,1.0,2,500,17.344805213636796,17.538424234184596,4.341041206541079,-0.04460197711462744,0.11914707800769699,0.15373786585056304,0.44764624201322273
bidisperse_a0.005_sr0.667_x1_N4000_L24_T400000_seed3_cont1_dense500.npz,1.0,3,500,18.735182119148853,15.125507970674779,2.6201735495817644,1.3776469688621409,0.1749103399129404,0.16622889845930897,0.45141763416832187
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont2_dense500.npz,1.5,1,500,10.383278813423214,18.380596257585513,3.5940644012913165,-2.2251458380347695,0.2594464314632989,0.18059343889562526,0.22757500851863413
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed2_cont2_dense500.npz,1.5,2,500,15.432907614677697,20.728417428185693,5.254910365133741,-1.0077260020729626,0.14721512423710828,0.12854119207771766,0.4074893848848393
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed3_cont2_dense500.npz,1.5,3,500,22.585588170715425,18.88894794867122,3.84813755244649,0.9606309991944108,0.19286047244176802,0.27145741557096514,0.6341305389177567
