chi,chi2,seed,J1,J2,N
0.5,0.25,2000,-6.414297184936536e-06,-0.00015973101499327323,1000
0.5,0.75,2000,-5.0507404942972335e-06,-0.0001345802798794026,1000
0.25,0.5,2000,-8.182013495765324e-06,-0.0001505033946372785,1000
0.75,0.5,2000,-2.3790896015110214e-06,-0.00014637124718966372,1000
0.5,0.25,2001,-6.883746700833813e-06,-0.00016309440757978068,1000
0.5,0.75,2001,-5.611640919042055e-06,-0.0001387362288644353,1000
0.25,0.5,2001,-8.373220989145031e-06,-0.0001518518483557299,1000
0.75,0.5,2001,-3.596702917371274e-06,-0.00015087784506038782,1000
0.5,0.25,2002,-5.602688224019504e-06,-0.00016308385221557663,1000
0.5,0.75,2002,-4.350563552957375e-06,-0.00013774843087128013,1000
0.25,0.5,2002,-7.215065713695001e-06,-0.0001514244401917493,1000
0.75,0.5,2002,-2.004026360483861e-06,-0.00015159630037467735,1000
0.5,0.25,2003,-5.382869345367536e-06,-0.0001619182256403923,1000
0.5,0.75,2003,-4.132465938143099e-06,-0.00013688188210628696,1000
0.25,0.5,2003,-7.5951994897677006e-06,-0.00015014468909539232,1000
0.75,0.5,2003,-1.7698908990430387e-06,-0.0001496359593072278,1000
0.5,0.25,2004,-6.2575043777986215e-06,-0.00015280201321299903,1000
0.5,0.75,2004,-4.841360667610982e-06,-0.000129920748603618,1000
0.25,0.5,2004,-7.740215392531536e-06,-0.0001416986667349185,1000
0.75,0.5,2004,-2.217829309594603e-06,-0.00014309191211960416,1000
0.5,0.25,2005,-4.536567656430671e-06,-0.00015459025198548754,1000
0.5,0.75,2005,-2.922726507262847e-06,-0.00013061932107780657,1000
0.25,0.5,2005,-6.864454030698075e-06,-0.0001465428602705046,1000
0.75,0.5,2005,-3.860518118442376e-08,-0.0001414641238305447,1000
0.5,0.25,2006,-5.1385927733115745e-06,-0.00014479753742125285,1000
0.5,0.75,2006,-3.692948384063261e-06,-0.000122359360166384,1000
0.25,0.5,2006,-7.111648213936197e-06,-0.0001369856607148079,1000
0.75,0.5,2006,-2.1074423260765696e-07,-0.00013251290369218754,1000
0.5,0.25,2007,-6.470235854406518e-06,-0.00015620967597328902,1000
0.5,0.75,2007,-5.082705519388951e-06,-0.0001320058374725958,1000
0.25,0.5,2007,-8.088873618246876e-06,-0.00014655803534369596,1000
0.75,0.5,2007,-3.301303673911534e-06,-0.00014546674091133892,1000
0.5,0.25,2008,-4.666076799673252e-06,-0.00015226378512508924,1000
0.5,0.75,2008,-3.1446330786053574e-06,-0.00012852796102603856,1000
0.25,0.5,2008,-6.969669043050194e-06,-0.00014172277076227645,1000
0.75,0.5,2008,1.765828161610328e-07,-0.00014027618416645617,1000
0.5,0.25,2009,-4.1298668247842254e-06,-0.00015645802134634288,1000
0.5,0.75,2009,-2.679030243858465e-06,-0.00013191696762504933,1000
0.25,0.5,2009,-6.399982039856946e-06,-0.00014690557609499104,1000
0.75,0.5,2009,-2.759089426604569e-07,-0.00014261185646302876,1000
0.5,0.25,2010,-6.991046036324847e-06,-0.0001675567134364405,1000
0.5,0.75,2010,-5.767217900171816e-06,-0.00014199622479369836,1000
0.25,0.5,2010,-8.396687733677926e-06,-0.00015396845114370485,1000
0.75,0.5,2010,-3.86480653397401e-06,-0.00015562651824524223,1000
0.5,0.25,2011,-5.199667901325165e-06,-0.00015732021793928263,1000
0.5,0.75,2011,-4.000873302510561e-06,-0.00013304181772144598,1000
0.25,0.5,2011,-7.139035147741741e-06,-0.0001466659660705004,1000
0.75,0.5,2011,-1.417569233278253e-06,-0.00014325710095583927,1000
0.5,0.25,2012,-3.59448496607329e-06,-0.0001578558386128669,1000
