file,case,seed,alpha,s_ratio,chi,ari_floor,Q,Q_sd,dQ_null,ARI,edge_jac,n_cl,lcf,sigv2
bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531,0.8886692661198602,0.005950313980785831,0.24989785747328452,0.46500682595784687,0.5926085504470285,40.88235294117647,0.6384117647058825,2.0218474630236544e-08
bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed2.npz,bidisperse,2,0.003,0.6666666666666666,1.0,0.8094910885870913,0.8868802434218427,0.006261754527016245,0.24374296940103235,0.43883357736097905,0.598145593325971,40.627450980392155,0.6698431372549019,2.0375995120384768e-08
bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.003,0.6666666666666666,1.0,0.6635885455611923,0.8945379104267905,0.0056747162952774655,0.24138071399647243,0.4612800630239535,0.6130206080911993,38.94117647058823,0.597078431372549,1.8173583808996275e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,1.0,0.6732230435525225,0.8515922533474433,0.003745113153005027,0.3262267342990858,0.49307774957297973,0.3678739751997385,21.215686274509803,0.8570980392156861,3.4348195314829286e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,1.0,0.7564909570874463,0.8627114977625784,0.005915177101324183,0.32162928969039717,0.511461496041676,0.40348155668405655,22.19607843137255,0.7849607843137254,3.565940131057372e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,1.0,0.6110641876538256,0.855634961203002,0.004289307762178497,0.3190667823133728,0.4704208877932231,0.40300220241979307,23.84313725490196,0.8213137254901961,4.059670916774367e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,1.0,0.701169501289847,0.8590120442971848,0.005884733592531192,0.32854272484784797,0.4972471740002352,0.3991546487047324,18.88235294117647,0.8543333333333334,3.0815389708314034e-08
bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,1.0,0.670319045231536,0.8639610741990772,0.005675214850360913,0.3193833182938778,0.494959765261174,0.41796856202393895,23.49019607843137,0.8331764705882354,3.440666867055505e-08
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.5307197682050299,0.853033527510827,0.004024907297956952,0.3541000013452844,0.5073114278721066,0.2892292772735701,2.019607843137255,0.9792745098039216,1.532313729615689e-09
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.25,0.6360844402157275,0.862676851341879,0.005037167691293751,0.3621809641702879,0.5643169977461054,0.2871707297849696,2.0980392156862746,0.7346078431372547,1.5422179627091336e-09
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.25,0.7266014852184296,0.8624260918169574,0.007344495489825343,0.3621457055568056,0.5751543447353487,0.2924535950131608,2.7450980392156863,0.7556666666666667,1.737540584332666e-09
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.25,0.5782290869860341,0.8533539023382585,0.0043764860743262,0.3614895254199607,0.5313346650903691,0.2733662161534695,1.9019607843137254,0.5632352941176471,1.3100341073349959e-09
bidisperse_a0.005_sr0.667_x0.25_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.25,0.5954266583235399,0.8486987068141616,0.004182888851891283,0.3544932862469926,0.4904855537092875,0.2746917161814837,1.3137254901960784,0.8423137254901959,1.3264802542700573e-09
