case,alpha,s_ratio,chi,Q,Q_sem,dQ_null,ARI,ARI_sem,edge_jac,edge_jac_sem,n_cl,sigv2,sigv2_sem,n_seeds
bidisperse,0.003,0.6666666666666666,1.0,0.8900291399894978,0.0023127839426154086,0.2450071802902631,0.45504015544759313,0.008174392341320145,0.6012582506213996,0.006094519420384372,40.15032679738562,1.9589351186539198e-08,7.093426832145848e-10,3
bidisperse,0.005,0.6666666666666666,0.0,0.8693812068661202,0.0017088182983863531,0.36897686542135655,0.6035337562697881,0.005510979876313946,0.273210017868921,0.0036933720989531372,3.380392156862745,1.4473640072379725e-09,2.6483236932672642e-11,5
bidisperse,0.005,0.6666666666666666,0.25,0.8560378159644166,0.0027836893118284634,0.35888189654786623,0.5337205978306434,0.01616369549865631,0.28338230688133076,0.003915839114520906,2.015686274509804,1.4897173276525084e-09,7.90314932426487e-11,5
bidisperse,0.005,0.6666666666666666,0.5,0.8588262063912419,0.0027308348146597664,0.3448822285055238,0.5238953550099787,0.010408125404766957,0.3528071875274194,0.006746452421792818,3.498039215686274,4.837417448620875e-09,1.6372741949437323e-10,5
bidisperse,0.005,0.6666666666666666,0.75,0.852414721967883,0.0016834291481831187,0.33327259203512183,0.49434168084355534,0.00745073038712966,0.3562543435250352,0.008989428417958679,12.07843137254902,1.543216012164545e-08,1.136489922927189e-09,5
bidisperse,0.005,0.6666666666666666,1.0,0.8545321795567734,0.0018073718098758724,0.3229900247096319,0.4872247361871649,0.003968425496053613,0.3836791895598116,0.007274019224931452,22.592156862745096,3.492138666354487e-08,1.1837284192873973e-09,10
bidisperse,0.005,0.6666666666666666,1.5,0.8535649125769733,0.0018753000289685382,0.3176782447441433,0.4900563758602807,0.0028339023065073595,0.3811185968001941,0.007880854343759798,33.10980392156863,7.849221144988965e-08,3.5333226948556525e-09,5
bidisperse,0.005,0.8,1.0,0.8619438309905479,0.006590675051516796,0.3142932287883138,0.4816693139126442,0.015215262655924586,0.3932868688193038,0.016125341434001593,15.65359477124183,1.494781212260271e-08,1.0827353141418099e-09,3
bidisperse,0.005,1.0,1.0,0.8798985465858177,0.0017421292422588254,0.33979246539806685,0.5217207670169842,0.010401913838600854,0.3869234452593581,0.007186317193697009,7.516339869281047,4.380146926347194e-09,2.1561605240849257e-10,3
bidisperse,0.005,1.25,1.0,0.7959738992848676,0.0005427541988091329,0.3569253642796783,0.4500665717251982,0.006154418529075756,0.02449926537841253,0.0023767947899070918,1.0,5.73227666694241e-11,3.9472000378351346e-12,3
bidisperse,0.005,1.5,1.0,0.7715569611729526,9.375856951870554e-05,0.378642357622124,0.41500896825532624,0.007132706955212843,0.0007870334485139211,0.00018471767501924315,1.0,9.301336797166789e-12,1.56926114233612e-13,3
bidisperse,0.01,0.6666666666666666,1.0,0.8427396123495031,0.0007739720661963472,0.36207851628368387,0.4975948477559746,0.006836710760737152,0.2743462313077237,0.012065790361416808,11.928104575163397,7.376642787610721e-08,7.586621387562002e-09,3
bidisperse,0.015,0.6666666666666666,1.0,0.841249743522503,0.00027950881827297296,0.3706806575301922,0.48587573528823774,0.002200019137027171,0.28163432593987103,0.0056418172748312085,9.143790849673202,1.4202748418322322e-07,4.8749970007859495e-09,3
monodisperse,0.005,0.6666666666666666,1.0,0.8752920109034641,0.0012385797174922894,0.3913397838060787,0.7797634119292598,0.012668999870719348,0.16392066196437488,0.0012238281248135756,5.435294117647059,1.1810869342678697e-09,4.53340458779818e-11,5
